Area	Coleta	Replica	Densidade	Altura	Biomassa	Serrapilheira
2	2	19	2	1.53	396.7	945.3
2	2	20	3	1.8733333333	288.2	698.2
2	3	1	10	2.039	622.36	641.32
2	3	2	17	1.4229411765	1018.63	641.57
2	3	5	22	1.1913636364	709.98	1740.43
2	3	6	10	1.673	688.37	1188.62
2	3	7	6	1.5816666667	165.11	1561.43
2	3	8	3	1.91	865.59	1190.9
2	3	9	3	2.09	686.3	751.15
2	3	10	6	1.8116666667	798.86	1346.75
2	3	11	7	2.0614285714	904.4	1349.57
2	3	13	7	2.52	165.22	1295.8428782
2	3	14	4	1.695	663.03	1115.83
2	3	16	6	1.9583333333	214.07	1042.2
2	3	17	3	1.86	646.89	2459.63
2	3	18	5	2.156	592.39	1273.87
2	3	21	7	1.8628571429	569.97	579.97
2	3	22	6	2.19	862.17	702.48
2	3	23	4	1.9775	154.9	1168.75
2	3	25	2	1.625	532.81	533.68
2	3	26	4	1.6475	1007.81	494.64
2	3	27	4	1.855	567.85	1600.09
2	4	2	12	1.6625	1184.06	1060.35
2	4	3	9	1.47	1034.06	763.94
2	4	4	14	1.6964285714	970.58	1606.21
2	4	5	8	1.58625	704.83	679.34
2	4	6	9	1.4911111111	1627.38	1182.61
2	4	7	5	1.902	1033.11	1259.03
2	4	8	8	2.2375	1217.83	686.89
2	4	9	6	2.015	930.67	2075.28
2	4	10	4	2.135	570.2	788.13
2	4	11	8	2.25625	643.21	2145.28
2	4	13	5	2.008	582.85	818.53
2	4	14	9	2.0155555556	1442.9	963.94
2	4	17	10	1.484	797.63	1427.6
2	4	18	8	1.96625	857.68	1390.91
2	4	19	2	2.375	707.79	1435.71
2	4	20	2	2.385	259.96	1109.56
2	4	22	7	1.6385714286	989.61	650.66
2	4	23	3	2.0466666667	212.21	1419.41
2	4	24	5	1.982	789.86	737.09
2	4	27	7	1.1414285714	920.31	1702.07
